County,Parent Agency ID,Partner Agency Program No.,Partner Agency Name,c_Address,c_City,c_Post_Code,c_Delivery_Info,Partner Agency Type,FoodFinder-Table1.sl_phone
RICHMOND,S1070,S1070FP,Prayer and Faith Temple Church,217 Lackey St,Hamlet,28345,2nd and 4th Wed 10 AM- 12 PM,FOODPANTRY,910-582-1177
SCOTLAND,S1072,S1072FP,Restoring Hope Center,1206 North Main St,Laurinburg,28353,Monday Tuesday  Friday 8:30am-11am,FOODPANTRY,910-276-4460/910-277-1601
MOORE,S1074,S1074FP,Robbins Area Christian,120 S Middleton St,Robbins,27325,1st and 3rd Sat  8am-10am,FOODPANTRY,910-638-4426 cell
SCOTLAND,S1075,S1075FP,Partners In Ministry,12 3rd St,Laurinburg,28343,2nd and Fourth Saturday 9am-12pm 1st and 3rd Friday 2-4pm,FOODPANTRY,910-277-3355 office
LEE,S1078,S1078FP,Salvation Army of Lee County,1740 S Horner Blvd,Sanford,27330,Mon-Thurs. 9 AM-12 PM and 1 PM- 4PM,FOODPANTRY,919-718-1717 Ext 20
MOORE,S1079,S1079FP,Sandhills Moore Coalition,1500 W Indiana Ave,Southern Pines,28387,M-F 8 AM-11 AM by appointment only,FOODPANTRY,910-693-1600
MOORE,S1082,S1082FP,Sandhills UCC,321 Keyser St,Aberdeen,28315,2nd Thursday 9am-12pm,FOODPANTRY,910-215-6573
RICHMOND,S1087,S1087FP,Southern Mission Ministries,267 Blues Bridge Rd,Hoffman,28347,Thursdays 10am-12pm,FOODPANTRY,910-281-4898
MOORE,S1088,S1088FP,Southern Pines UMC,175 Midland Rd,Southern Pines,28387,every Monday 10-11:30 AM,FOODPANTRY,910-528-0504
MOORE,S1090,S1090FP,Saint Anthony's Catholic Church,320 N Ashe St,Southern Pines,28387,Tues and Thurs. 10 AM to 1 PM,FOODPANTRY,910-692-6613
SCOTLAND,S1091,S1091FP,Saint John's Emergency Food,7700 Hwy 79,Gibson,28343,2nd and 4th Wed. 9 AM-11 AM,FOODPANTRY,910-280-2424
SCOTLAND,S1092,S1092FP,Saint Luke United Methodist,1501 Turnpike Rd,Laurinburg,28352,3rd Saturday 8:30-9:30am Wed. 1-3pm,FOODPANTRY,910-276-6821
RICHMOND,S1093,S1093FP,Saint Paul Lutheran,311 Marlboro St,Hamlet,28345,3rd Sat. 9 AM-11:30 AM and Wednesdays 1 PM,FOODPANTRY,910-582-0729
RICHMOND,S1095,S1095FP,Tabernacle Full Gospel,328 Airport Rd,Rockingham,28379,Tuesdays and Wednesdays 11:30am - 2pm,FOODPANTRY,910-419-4271
MOORE,S1096,S1096FP,The Worship Center,150 Eastman Rd # 1A,Southern Pines,28387,1st & 3rd Tuesday 10am-12pm,FOODPANTRY,910-528-4539
SCOTLAND,S1097,S1097FP,Unionville Missionary Baptist,19400 Blakley Rd,Laurinburg,28352,EveryTuesday 6:00pm-8:30pm,FOODPANTRY,
MOORE,S1101,S1101FP,West End United Methodist,4015 NC Hwy 73,West End,27376,Every Other Wednesday 8-10:30 am,FOODPANTRY,910-673-1371
MOORE,S1113,S1113FP,Vass Community Food Pantry,3450 US Business Hwy 1,Vass,28394,2nd and 4th Tues. 10:30 AM- 11:30 AM,FOODPANTRY,910-639-4400
LEE,S1115,S1115SH1,Outreach Mission Inc.,507 Third St,Sanford,27330,Monday-Friday 9 am-5 pm,SHELTER,919-776-8487 office
RICHMOND,S1116,S1116FP,Place of Grace,252 School St,Rockingham,28379,Monday and Wednesdays 10am-2pm,FOODPANTRY,910-819-7801
SCOTLAND,S1120,S1120FP,Gift of Love Food Pantry,9460 Andrew Jackson Hwy,Laurel Hill,28351,Mon-Friday 10 am- 3 pm emergency asst. and food distributions,FOODPANTRY,
COLUMBUS,W1003,W1003FP,Bogue Community Citizens,1036 Jockey Rd,Hallsboro,28442,"TEFAP 4th Fri 8-10am and 4th Saturday, by appointment",FOODPANTRY,910-317-6064
NEWHANOVER,W1004,W1004SOF1,Bread for Life,108 N Kerr Ave Suite K1,Wilmington,28405,"Serves adults ages 60 and older 1st Tuesday 10am-12pm / 2nd, 3rd & 4th Friday 10am-12pm",ELDERLY NU,
BRUNSWICK,W1007,W1007FP1,Brunswick Family Assistance,929 Old Ocean Hwy,Bolivia,28422,"Monday, Tuesday, & Thursday 9am-12pm &1-4pm, Wednesdays 1-4pm, Friday 9am-12pm &1-2:30pm",FOODPANTRY,910-754-4766
BRUNSWICK,W1007,W1007FP2,Brunswick Family Assistance,324-I Village Rd,Leland,28451,"Monday, Tuesday, Wednesday & Thursday 9am-12pm & 1-4pm & Friday 9am-12pm & 1-2:30pm",FOODPANTRY,910-754-4766
BRUNSWICK,W1008,W1008FP,Brunswick Islands Baptist Church,1672 Mt Pisgah Rd,Supply,28462,1st & 3rd Tuesday 8-11am ,FOODPANTRY,910-842-8969
PENDER,W1010,W1010FP1,Gateway Community Church,416 W Bridgers St,Burgaw,28425,"Monday, Wednesday & Friday 11am-12pm",FOODPANTRY,910-259-5447
NEWHANOVER,W1016,W1016FP,Catholic Charities,4280 US Highway 421 N Suite 110,Wilmington,28401,Tuesdays and Fridays 9-11:30am,FOODPANTRY,910-251-8130
NEWHANOVER,W1019,W1019SH,Coastal Horizons- Open House Youth Shelter,615 Shipyard Blvd,Wilmington,28412,24/7,SHELTER,910-392-6936
COLUMBUS,W1029,W1029FP,Facts of Life Church,24678 Peacock Rd,Tabor City,28463,"Mondays by appointment, Wednesdays at 11am, & 3rd Friday at 10am (while supplies last)",FOODPANTRY,910-918-4531
COLUMBUS,W1029,W1029SK,Facts of Life Church,506 N Lee St,Whiteville,28472,Saturdays 2-4pm,SOUP KITCH,910-918-4531
NEWHANOVER,W1031,W1031SK,First Baptist Church Carolina Beach,409 N Lake Park Blvd,Carolina Beach,28428,Thursday 5:30-6:30pm Martha Kitchen's On the Go Fridays 10am-12pm,SOUP KITCH,910-458-5134
COLUMBUS,W1032,W1032FP,Lake Waccamaw Food Ministry,300 Sam Potts Hwy,Lake Waccamaw,28450,4th Saturday 9-10am,FOODPANTRY,910-646-3727
BRUNSWICK,W1033,W1033FP,First Baptist Church of Leland,517 Village Rd,Leland,28451,1st and 3rd Saturday of month 10am-12pm,FOODPANTRY,910-371-2233
NEWHANOVER,W1034,W1034FP,First Fruit Ministries,2750 Vance St,Wilmington,28412,"Mondays 10am-12pm, Wednesday 10am-12pm & Saturday 10am-1pm",FOODPANTRY,910-612-1653
NEWHANOVER,W1034,W1034SH,First Fruit Ministries,2750 Vance St,Wilmington,28412,Shelter 24/7,SHELTER,910-612-1653
NEWHANOVER,W1036,W1036FP,Good Shepherd Center,811 Martin St,Wilmington,28401,Wednesdays 12-1pm,FOODPANTRY,910-362-0292 Ext 101
NEWHANOVER,W1036,W1036SH,Good Shepherd Center,811 Martin St,Wilmington,28403,24/7,SHELTER,910-362-0292 Ext 101
NEWHANOVER,W1036,W1036SK,Good Shepherd Center,811 Martin St,Wilmington,28401,Monday-Friday 11am-12pm,SOUP KITCH,910-362-0292 Ext 101
NEWHANOVER,W1039,W1039FP,Helping Hands St Stanislaus Catholic Church,4849 Castle Hayne Rd,Castle Hayne,28429,Every other Thursday (call for schedule)  9-11,FOODPANTRY,910-675-2336
PENDER,W1040,W1040FP,Hills Chapel Missionary,2521 Little Kelly Rd,Rocky Point,28457,1st and 3rd Saturday 10am-12pm,FOODPANTRY,828-405-3509
NEWHANOVER,W1041,W1041FP,House of Mercy,4702 S College Rd,Wilmington,28412,Thursdays 11am-1pm,FOODPANTRY,910-392-2899
BRUNSWICK,W1042,W1042FP,Inspirational House of Praise,1005 Village Rd,Leland,28451,Wednesdays 8:30am-9:30am,FOODPANTRY,910 612 7041
COLUMBUS,W1049,W1049FP,Lifesavers Outreach,415 W Walter St,Whiteville,28472,Wednesdays 10am-12pm while supplies last,FOODPANTRY,561-202-5275
COLUMBUS,W1051,W1051FP,Living Word Church,98 Old Chadbourn Hwy,Chadbourn,28431,First and Second Thursday 2pm-5pm,FOODPANTRY,910-654-4165
PENDER,W1052,W1052FP,Livingstones Tabernacle,127 Sloop Point Loop Rd,Hampstead,28443,Mon -Sun 11am-1pm,FOODPANTRY,910-270-0750
BRUNSWICK,W1053,W1053FP,Love of Christ Ministries,4308 Bus 17 NE,Bolivia,28422,"Monday, Tuesday, Wednesday & Friday 10:30am-12:30pm & 1st & 3rd Thursday 12-2pm & 2nd & 4th Thursday 5-7pm",FOODPANTRY,910-253-4893
COLUMBUS,W1055,W1055FP1,Men and Women United for Youth and Families,1795 Woodyard Rd,Reigelwood,28456,2nd Tuesday @ 10 (while supplies last) ***TEFAP 3rd Thursday of each month at 1pm,FOODPANTRY,910-655-3811
NEWHANOVER,W1056,W1056FP,Mother Hubbard's Cupboard,315 Red Cross St,Wilmington,28401,Wednesday 12:30-3pm & Saturday 9am-12pm ,FOODPANTRY,910-762-2199
NEWHANOVER,W1057,W1057FP,Mt Olive AME Church - Helping Hand Food Pantry,1001 S 7th St,Wilmington,28401,2nd and 3rd Saturday 10am-12pm,FOODPANTRY,910-620-4738
PENDER,W1068,W1068FP,Pender County Christian Services,9955 HWY 11,Willard,28478,Monday - Thursday 12:30 pm - 3 pm Friday 12:30 pm - 2:30 pm,FOODPANTRY,
BRUNSWICK,W1072,W1072FP,Salvation and Deliverance Family Worship Center,4402 NW Rd,Leland,28451,2nd & 4th Saturdays 8-10am; 3rd Thursdays 8-10am,FOODPANTRY,910-655-3261
NEWHANOVER,W1073,W1073FP,Salvation Army - Wilmington,20 N 4th St Suite 300,Wilmington,28401,Tuesdays and Thursdays 9am-12pm,FOODPANTRY,910-762-7354
NEWHANOVER,W1073,W1073SH,Salvation Army - Wilmington,1410 William Booth Drive,Wilmington,28405,Shelter 24/7,SHELTER,910-762-7354
PENDER,W1079,W1079FP,Share the Table Inc,21 Perkins Rd,Hampstead,28443,Tues. & Wed. 10am-11:30am & 1pm-2:30pm; Thurs. 10am-11:30am & 2pm-6:30pm; Sun. 4:30pm-6pm,FOODPANTRY,910 803 0411
PENDER,W1079,W1079SK,Share the Table Inc,21 Perkins Rd,Hampstead,28443,Sundays 4-6pm,SOUP KITCH,910 803 0411
BRUNSWICK,W1080,W1080FP,Shoreline Baptist Church,4198 Vanessa Dr,Southport,28461,Mondays 3-5pm (closed federal holidays),FOODPANTRY,910-457-1909
BRUNSWICK,W1081,W1081FP,Sonrise Independent Baptist,8375 River Rd,Southport,28461,2nd and 4th Monday 2-4pm,FOODPANTRY,910-880-9889
BRUNSWICK,W1082,W1082FP,South Brunswick Inter-Church,3610 Express Dr,Shallotte,28459,Saturdays 10a.m.-12p.m.,FOODPANTRY,910-579-4684
BRUNSWICK,W1083,W1083FP,Southport Oak Island InterChur,249 W Boiling Spring Rd,Boiling Spring Lakes,28461,"Tues 9-11:30, Thurs 5-7 & Sat 9-11:30",FOODPANTRY,910-845-2320
BRUNSWICK,W1084,W1084FP,Saint Brendans Church,5101 Ocean Hwy W,Shallotte,28470,Wednesdays 10am-12pm,FOODPANTRY,910-754-8544
PENDER,W1085,W1085FP,Saint Joseph Parish Outreach,1303 Hwy 117 S,Burgaw,28425,Thursdays 12-4pm,FOODPANTRY,910-259-2601
NEWHANOVER,W1086,W1086FP,Saint Jude's Metropolitan,19 N 26th St,Wilmington,28405,1st & 3rd Tuesdays 8:30-11am,FOODPANTRY,910-762-5833
BRUNSWICK,W1087,W1087FP,Saint Mary Missionary Baptist,6401 Ocean Hwy E,Winnabow,28479,First and 3rd Saturday 11am-1pm,FOODPANTRY,910-253-7622
COLUMBUS,W1088,W1088FP,Saint Paul AME Zion Church,507 Money Hole Rd,Bolton,28423,Thursdays 12pm - 2pm,FOODPANTRY,910-622-7684
NEWHANOVER,W1089,W1089FP,CEC of Saint Peter the Fisherman,314 S Carolina Ave,Wilmington,28401,Wednesdays 9am-12pm,FOODPANTRY,910-763-6222
NEWHANOVER,W1089,W1089SK,CEC of Saint Peter the Fisherman Inc,411 Market St,Wilmington,28401,Tuesdays 10-11am,SOUP KITCH,910-763-6222
NEWHANOVER,W1093,W1093FP,The Help Center of Federal,7 N 3rd St,Carolina Beach,28428,Monday-Friday 10am-12pm,FOODPANTRY,910-458-2777
NEWHANOVER,W1097,W1097FP,The Sister Isaac Center,412 Ann St,Wilmington,28401,Monday-Thursday 9-11am (closed month of August) ,FOODPANTRY,910-762-5491 ext. 135
BRUNSWICK,W1098,W1098FP,Towncreek Vision Corporation,215 Sunnybrook Way Rd,Leland,28479,Thursdays 8-10am,FOODPANTRY,910-443-7111
BRUNSWICK,W1100,W1100FP,Trinity Missionary Baptist,883 Holden Beach Rd,Shallotte,28470,2nd & 4th Tuesday 11am-12pm,FOODPANTRY,910 754 4018
NEWHANOVER,W1103,W1103FP1,Union Missionary Baptist,2711 Princess Pl Dr,Wilmington,28405,2nd & 3rd Fri 4-6,FOODPANTRY,910-763-3006
BRUNSWICK,W1104,W1104FP,Victory Independent,516 Varnamtown Rd,Supply,28462,Tuesdays at 1pm,FOODPANTRY,910-393-7728
NEWHANOVER,W1113,W1113FP,Wrightsboro United Methodist,3300 N Kerr Ave,Wilmington,28405,Wednesdays 8:30-10am & Thursdays 3:15-4:30pm,FOODPANTRY,910-762-2583
PENDER,W1131,W1131FP,Christian Community Caring Center,15200 US Hwy 17,Hampstead,28443,"Mondays, Wednesdays, Thursdays 9am-noon & Saturdays 11am-1pm",FOODPANTRY,910-270-0930
BRUNSWICK,W1133,W1133FP,Cornerstone Baptist Church,1638 Lanvale Rd,Leland,28451,4th Thursday 4-7pm; Saturday after 2nd Thursday 10am-2pm,FOODPANTRY,910-616-1381
NEWHANOVER,W1135,W1135FP,Lighthouse Shining Ministries,6622 Carolina Beach Rd,Wilmington,28412,Thursdays 4-6pm & Sundays 10:15-11am,FOODPANTRY,910-262-5233
NEWHANOVER,W1136,W1136FP,Iglesia Vision 3D,359 Mercer Ave,Wilmington,28403,"1st, 2nd, 4th, 5th Friday at 4pm til supplies last",FOODPANTRY,910-512-6816
NEWHANOVER,W1137,W1137FP,Miracle on Meares Agency,1019 Meares St,Wilmington,28401,1st & 3rd Mondays 6-7pm,FOODPANTRY,
NEWHANOVER,W1138,W1138FP,Saint Luke AME Zion Church,709 Church St,Wilmington,28401,Wednesdays 11am-1pm ,FOODPANTRY,910-762-7876
BRUNSWICK,W1143,W1143FP,Beach Christian Recovery,1198 B Riverview Dr,Calabash,28467,Every other Saturday from 2-4pm,FOODPANTRY,910-712-2241
NEWHANOVER,W1147,W1147FP,Liberty Baptist Church of Wilmington,7957 Market St,Wilmington,28411,1st and 3rd Mondays 1-4pm,FOODPANTRY,910-686-0176
NEWHANOVER,W1160,W1160DD,"The Healing Place of New Hanover County, Inc.",1000 Medical Center Drive,Wilmington,28401,2nd and 4th Mondays 4-5pm while supplies last,DIRECT DST,
NEWHANOVER,W1160,W1160SH,"The Healing Place of New Hanover County, Inc.",1000 Medical Center Drive,Wilmington,28401,24/7,SHELTER,910-970-4673
DUPLIN,W1167,W1167FP,Ministerio Esperanza De Vida,594 Isham Frederick Rd,Magnolia,28453,Sundays 1pm - 3pm,FOODPANTRY,
NEWHANOVER,W1168,W1168FP,Shiloh Missionary Baptist Church,719 Walnut St,Wilmington,28401,Tuesdays 10am-12pm,FOODPANTRY,910-232-6587
BRUNSWICK,W1169,W1169FP,Mt Calvary AME Church,325 Main St,Navassa,28451,2nd Saturday 10am-12pm & 4th Thursday 4-6pm,FOODPANTRY,910-620-2720
NEWHANOVER,W1170,W1170FP,Market on Greenfield,1000 Greenfield St,Wilmington,28401,Monday 10am-1pm; Tuesday 1pm-4pm; Thursday 10am-1pm; Friday 1pm-4pm; 2nd & 4th Saturday 10am-1pm,FOODPANTRY,910-251-1465
BRUNSWICK,W1171,W1171FP,Royal Oak Community Food Asssistance Distribution,405 Big Macedonia Rd,Supply,28462,4th Thursday at 12pm (while supplies last),FOODPANTRY,910-754-5188
BRUNSWICK,W1171,W1171FP1,Royal Oak Concerned Citizens Association,246 Little Macedonia Rd,Supply,28462,2nd Thursday at 12pm (while supplies last) ,FOODPANTRY,910-754-5188
NEWHANOVER,W1172,W1172FP,Saint James AME Church,3425 Castle Hayne Rd,Castle Hayne,28429,2nd Tuesday & 4th Thursday 3:30-5:30pm,FOODPANTRY,910-853-2253
PENDER,W1176,W1176FP,Lakes Chapel Missionary Baptist Church,10420 Point Caswell Rd,Willard,28478,Second and Fourth Wednesday 12-2pm,FOODPANTRY,910-470-9527
